language,word
spanish,esa
spanish,estos
spanish,mucho
spanish,quienes
spanish,nada
spanish,muchos
spanish,cada
spanish,fin
spanish,tan
spanish,estas
spanish,algo
spanish,somos
spanish,tú
spanish,ella
spanish,usted
spanish,algunas
spanish,nosotros
spanish,mi
spanish,tus
spanish,ellas
spanish,ustedes
spanish,vosotros
spanish,míos
spanish,tuyos
spanish,suyos
spanish,nuestro
spanish,vuestros
spanish,esas
spanish,estos
spanish,estoy
spanish,está
spanish,estamos
spanish,están
spanish,estar
spanish,estaremos
spanish,estáis
french,au
french,aux
french,avec
french,ce
french,ces
french,dans
french,de
french,des
french,du
french,elle
french,en
french,et
french,eux
french,il
french,je
french,la
french,le
french,leur
french,lui
french,ma
french,mais
french,me
french,même
french,mes
french,moi
french,mon
french,ne
french,nos
french,notre
french,nous
french,on
french,ou
french,par
french,pas
french,pour
french,qu
french,que
french,qui
french,sa
french,se
french,ses
french,son
french,sur
french,ta
french,te
french,tes
french,toi
french,ton
french,tu
french,un
french,une
french,vos
french,votre
french,vous
french,c
french,d
french,j
french,l
french,à
french,m
french,n
french,s
french,t
french,y
french,été
french,étée
french,étées
french,étés
french,étant
french,suis
french,es
french,est
french,sommes
french,êtes
french,sont
french,serai
french,seras
french,sera
french,serons
french,serez
french,seront
french,serais
french,serait
french,serions
french,seriez
french,seraient
french,étais
french,était
french,étions
french,étiez
french,étaient
french,fus
french,fut
french,fûmes
french,fûtes
french,furent
french,sois
french,soit
french,soyons
french,soyez
french,soient
french,fusse
french,fusses
french,fût
french,fussions
french,fussiez
french,fussent
french,ayant
french,eu
french,eue
french,eues
french,eus
french,ai
french,as
french,avons
french,avez
french,ont
french,aurai
french,auras
french,aura
french,aurons
french,aurez
french,auront
french,aurais
french,aurait
french,aurions
french,auriez
french,auraient
french,avais
french,avait
french,avions
french,aviez
french,avaient
french,eut
french,eûmes
french,eûtes
french,eurent
french,aie
french,aies
french,ait
french,ayons
french,ayez
french,aient
french,eusse
french,eusses
french,eût
french,eussions
french,eussiez
french,eussent
french,ceci
french,cela
french,cet
french,cette
french,ici
french,ils
french,les
french,leurs
french,quel
french,quels
french,quelle
french,quelles
french,sans
french,soi
german,aber
german,alle
german,allem
german,allen
german,aller
german,alles
german,als
german,also
german,am
german,an
german,ander
german,andere
german,anderem
german,anderen
german,anderer
german,anderes
german,anderm
german,andern
german,anderr
german,anders
german,auch
german,auf
german,aus
german,bei
german,bin
german,bis
german,bist
german,da
german,damit
german,dann
german,der
german,den
german,des
german,dem
german,die
german,das
german,daß
german,dass
german,derselbe
german,derselben
german,denselben
german,desselben
german,demselben
german,dieselbe
german,dieselben
german,dazu
german,dein
german,deine
german,deinem
german,deinen
german,deiner
german,deines
german,denn
german,derer
german,dessen
german,dich
german,dir
german,du
german,dies
german,diese
german,diesem
german,diesen
german,dieser
german,dieses
german,doch
german,dort
german,durch
german,ein
german,eine
german,einem
german,einen
german,einer
german,eines
german,einig
german,einige
german,einigem
german,einigen
german,einiger
german,einiges
german,einmal
german,er
german,ihn
german,ihm
german,es
german,etwas
german,euer
german,eure
german,eurem
german,euren
german,eurer
german,eures
german,gegen
german,gewesen
german,hab
german,habe
german,haben
german,hat
german,hatte
german,hatten
german,hier
german,hin
german,hinter
german,ich
german,mich
german,mir
german,ihr
german,ihre
german,ihrem
german,ihren
german,ihrer
german,ihres
german,euch
german,im
german,in
german,indem
german,ins
german,ist
german,jede
german,jedem
german,jeden
german,jeder
german,jedes
german,jene
german,jenem
german,jenen
german,jener
german,jenes
german,jetzt
german,kann
german,kein
german,keine
german,keinem
german,keinen
german,keiner
german,keines
german,können
german,könnte
german,machen
german,man
german,manche
german,manchem
german,manchen
german,mancher
german,manches
german,mein
german,meine
german,meinem
german,meinen
german,meiner
german,meines
german,mit
german,muss
german,musste
german,nach
german,nicht
german,nichts
german,noch
german,nun
german,nur
german,ob
german,oder
german,ohne
german,sehr
german,sein
german,seine
german,seinem
german,seinen
german,seiner
german,seines
german,selbst
german,sich
german,sie
german,ihnen
german,sind
german,so
german,solche
german,solchem
german,solchen
german,solcher
german,solches
german,soll
german,sollte
german,sondern
german,sonst
german,über
german,um
german,und
german,uns
german,unse
german,unsem
german,unsen
german,unser
german,unses
german,unter
german,viel
german,vom
german,von
german,vor
german,während
german,war
german,waren
german,warst
german,was
german,weg
german,weil
german,weiter
german,welche
german,welchem
german,welchen
german,welcher
german,welches
german,wenn
german,werde
german,werden
german,wie
german,wieder
german,will
german,wir
german,wird
german,wirst
german,wo
german,wollen
german,wollte
german,würde
german,würden
german,zu
german,zum
german,zur
german,zwar
german,zwischen
